No;Sector;Sub_Industry;Code;Stock_Name;FS_Date;Fiscal_Year_End;Assets;Liabilities;Equity;Sales;EBT;Profit_Period;Profit_owner;EPS;Book_Value;P_E_Ratio;Price_BV;D_E_Ratio;ROA;ROE;NPM;P_E_Ratio2;Price_BV2;D_E_Ratio2;ROE2;NPM2;Akumulasi
515;Consumer Cyclicals;Restaurants;RAFI;PT Sari Kreasi Boga Tbk;09/30/2024;Dec;487,09;115,65;371,44;43.046,92;14.943,54;10.370,14;10.292,86;3.297,26;0,24;0,01;0,24;0,31;2117,5;2776,8;24,0;1;1;1;1;1;5
92;Basic Materials;Basic Chemicals;AGII;Aneka Gas Industri Tbk;09/30/2024;Dec;7.978,68;4.201,61;3.777,06;85.969,76;24.889,17;21.441,38;19.567,71;6.398,54;1,01;0,20;1,01;1,11;245,9;519,5;22,8;1;1;1;1;1;5
943;Transportation & Logistic;Logistics & Deliveries;KJEN;PT Krida Jaringan Nusantara Tbk.;09/30/2024;Dec;65,53;4,27;61,27;1.449,26;280,01;215,85;215,85;431,59;1,02;0,29;1,02;0,07;329,3;352,2;14,9;1;1;1;1;1;5
942;Transportation & Logistic;Logistics & Deliveries;JAYA;PT Armada Berjaya Trans Tbk.;03/31/2025;Dec;233,84;109,80;124,04;16,43;0,35;0,22;0,22;335,60;0,58;0,27;0,58;0,89;114,6;216,0;1631,4;1;1;1;1;1;5
298;Consumer Non-Cyclicals;Processed Foods;BOBA;Formosa Ingredient Factory Tbk;03/31/2025;Dec;180,49;18,14;162,35;38,06;4,15;3,38;3,38;113,33;1,12;1,39;1,12;0,11;72,6;80,7;344,2;1;1;1;1;1;5
898;Infrastructures;Wireless Telecommunication Services;GOLD;PT Visi Telekomunikasi Infrastruktur Tbk.;03/31/2025;Dec;446,54;41,87;404,67;13,50;5,32;5,14;5,14;240,57;0,83;1,09;0,83;0,10;68,8;75,9;2275,5;1;1;1;1;1;5
762;Properties & Real Estate;Real Estate Development & Management;LPKR;Lippo Karawaci Tbk;03/31/2025;Dec;51.134,91;20.031,45;31.103,46;2.064,05;295,18;226,64;169,47;269,33;0,21;0,34;0,21;0,64;37,3;61,4;925,1;1;1;1;1;1;5
747;Properties & Real Estate;Real Estate Development & Management;GPRA;Perdana Gapuraprima Tbk;03/31/2025;Dec;2.008,82;603,88;1.404,94;132,86;37,09;37,09;37,32;187,55;0,29;0,50;0,29;0,43;39,9;57,1;603,7;1;1;1;1;1;5
123;Basic Materials;Containers & Packaging;ESIP;Sinergi Inti Plastindo Tbk;03/31/2025;Dec;102,15;4,43;97,72;14,15;0,54;0,50;0,50;41,98;0,28;0,60;0,28;0,05;45,6;47,7;329,4;1;1;1;1;1;5
113;Basic Materials;Aluminum;CITA;Cita Mineral Investindo Tbk;12/31/2024;Dec;7.943,81;322,60;7.621,21;2.386,97;2.606,41;2.489,55;2.489,61;883,99;1,81;3,94;1,81;0,04;44,1;45,9;146,7;1;1;1;1;1;5
599;Healthcare;Pharmaceuticals;PEHA;Phapros Tbk;09/30/2024;Dec;1.672,80;966,14;706,66;920,55;338,36;299,62;289,27;369,51;0,32;0,73;0,32;1,37;18,6;43,9;33,7;1;1;1;1;1;5
803;Properties & Real Estate;Real Estate Development & Management;URBN;Urban Jakarta Propertindo Tbk;09/30/2024;Dec;4.110,44;2.051,09;2.059,35;5.576,76;974,21;770,53;633,86;222,33;0,18;0,51;0,18;1,00;17,5;34,9;12,9;1;1;1;1;1;5
1;Energy;Coal Production;AADI;PT Adaro Andalan Indonesia Tbk;03/31/2025;Dec;96.542,82;38.757,71;57.785,11;19.290,06;4.643,43;3.692,36;3.246,87;2.365,65;0,91;2,84;0,91;0,67;19,1;31,9;95,5;1;1;1;1;1;5
3;Energy;Coal Production;ADMR;Adaro Minerals Indonesia Tbk;03/31/2025;Dec;37.101,39;11.156,05;25.945,34;3.312,16;1.311,68;1.074,30;1.084,25;199,00;1,42;4,52;1,42;0,43;21,9;31,4;245,6;1;1;1;1;1;5
371;Consumer Non-Cyclicals;Plantations & Crops;TAPG;Triputra Agro Persada Tbk;03/31/2025;Dec;14.882,89;2.771,58;12.111,31;2.620,06;990,24;834,88;805,26;179,06;1,60;5,45;1,60;0,23;23,9;29,4;135,7;1;1;1;1;1;5
6;Energy;Oil & Gas Storage & Distribution;AKRA;AKR Corporindo Tbk.;03/31/2025;Dec;32.640,70;17.372,73;15.267,97;10.255,85;734,19;604,32;565,21;218,93;1,66;5,76;1,66;1,14;13,5;28,8;42,9;1;1;1;1;1;5
144;Basic Materials;Iron & Steel;ISSP;Steel Pipe Industry of Indonesia Tbk;03/31/2025;Dec;8.405,48;3.277,21;5.128,27;1.280,46;105,50;84,52;84,53;199,50;0,39;1,39;0,39;0,64;17,1;28,0;112,0;1;1;1;1;1;5
506;Consumer Cyclicals;Travel Agencies;PANR;Panorama Sentrawisata Tbk;03/31/2025;Dec;1.966,05;730,44;1.235,61;852,02;36,29;28,99;14,47;247,56;0,95;3,43;0,95;0,59;17,5;27,8;40,3;1;1;1;1;1;5
4;Energy;Coal Production;ADRO;Alamtri Resources Indonesia Tbk;03/31/2025;Dec;106.592,22;19.986,42;86.605,81;6.321,90;1.754,16;1.446,39;1.270,56;766,25;0,67;2,48;0,67;0,23;22,1;27,2;372,8;1;1;1;1;1;5
878;Infrastructures;Heavy Constructions & Civil Engineering;PBSA;PT Paramita Bangun Sarana Tbk;03/31/2025;Dec;1.097,42;296,05;801,37;279,64;34,16;25,70;25,74;71,17;1,38;5,17;1,38;0,37;19,5;26,6;76,4;1;1;1;1;1;5
19;Energy;Oil & Gas Storage & Distribution;BULL;Buana Lintas Lautan Tbk;09/30/2024;Dec;5.199,03;3.015,00;2.184,03;1.956,43;667,73;527,37;527,37;41,04;0,76;2,85;0,76;1,38;11,1;26,5;29,6;1;1;1;1;1;5
940;Transportation & Logistic;Logistics & Deliveries;HAIS;Hasnur Internasional Shipping Tbk;03/31/2025;Dec;1.239,70;430,91;808,79;235,36;19,59;16,32;17,09;73,99;0,65;2,69;0,65;0,53;15,7;24,0;82,6;1;1;1;1;1;5
849;Technology;Networking Equipment;MSTI;PT Mastersystem Infotama Tbk.;03/31/2025;Dec;3.262,43;986,24;2.276,19;1.191,67;151,99;115,30;115,30;172,15;2,00;8,42;2,00;0,43;16,6;23,7;45,4;1;1;1;1;1;5
355;Consumer Non-Cyclicals;Plantations & Crops;PNGO;PT Pinago Utama Tbk;03/31/2025;Dec;1.638,83;580,42;1.058,40;723,50;112,69;87,59;87,38;318,26;1,32;5,62;1,32;0,55;15,2;23,5;34,4;1;1;1;1;1;5
12;Energy;Coal Distribution;BBRM;Pelayaran Nasional Bina Buana Raya Tbk;03/31/2025;Dec;731,65;81,71;649,93;53,56;21,03;20,44;20,44;17,99;1,00;4,28;1,00;0,13;20,9;23,5;284,9;1;1;1;1;1;5
251;Industrials;Commercial Printing;JTPE;Jasuindo Tiga Perkasa Tbk;03/31/2025;Dec;2.128,88;809,33;1.319,55;348,32;67,40;54,89;51,17;45,18;1,20;5,13;1,20;0,61;14,5;23,5;88,9;1;1;1;1;1;5
950;Transportation & Logistic;Logistics & Deliveries;NELY;Pelayaran Nelly Dwi Putri Tbk;03/31/2025;Dec;1.176,56;248,32;928,24;114,17;28,66;27,63;27,60;92,33;1,06;4,55;1,06;0,27;18,4;23,4;190,0;1;1;1;1;1;5
739;Properties & Real Estate;Real Estate Development & Management;DMAS;Puradelta Lestari Tbk;03/31/2025;Dec;8.567,51;997,18;7.570,34;507,89;368,93;355,79;355,45;35,45;1,11;4,91;1,11;0,13;19,9;22,6;336,4;1;1;1;1;1;5
61;Energy;Coal Production;PTBA;Bukit Asam Tbk;12/31/2024;Dec;41.854,33;19.210,52;22.643,81;42.764,97;6.259,25;5.139,42;5.103,72;443,01;1,40;6,23;1,40;0,85;12,2;22,5;11,9;1;1;1;1;1;5
128;Basic Materials;Timber;FWCT;PT Wijaya Cahaya Timber Tbk;03/31/2025;Dec;701,33;356,82;344,50;363,87;12,43;9,53;9,52;40,85;0,88;3,94;0,88;1,04;10,9;22,2;21,1;1;1;1;1;1;5
164;Basic Materials;Specialty Chemicals;OBMD;OBM Drilchem Tbk;12/31/2024;Dec;204,85;30,78;174,08;169,64;51,27;38,64;38,64;47,94;0,89;4,03;0,89;0,18;18,9;22,2;22,8;1;1;1;1;1;5
276;Consumer Non-Cyclicals;Food Retail & Distributors;KMDS;Kurniamitra Duta Sentosa Tbk;03/31/2025;Dec;300,89;55,43;245,45;90,17;16,24;12,84;12,84;68,04;1,89;8,52;1,89;0,23;18,1;22,2;60,4;1;1;1;1;1;5
368;Consumer Non-Cyclicals;Plantations & Crops;STAA;PT Sumber Tani Agung Resources Tbk;03/31/2025;Dec;8.591,54;2.324,72;6.266,82;1.666,34;453,62;355,20;304,71;127,42;1,57;7,10;1,57;0,37;16,2;22,2;83,4;1;1;1;1;1;5
312;Consumer Non-Cyclicals;Plantations & Crops;CSRA;PT Cisadane Sawit Raya Tbk.;03/31/2025;Dec;2.338,99;961,48;1.377,51;275,39;116,26;78,96;78,96;144,35;0,99;4,61;0,99;0,70;12,7;21,5;107,4;1;1;1;1;1;5
305;Consumer Non-Cyclicals;Processed Foods;CEKA;Wilmar Cahaya Indonesia Tbk;03/31/2025;Dec;2.585,12;577,73;2.007,39;2.269,70;125,00;98,60;98,60;710,21;0,70;3,32;0,70;0,29;16,3;21,1;18,6;1;1;1;1;1;5
338;Consumer Non-Cyclicals;Fish, Meat, & Poultry;JPFA;Japfa Comfeed Indonesia Tbk;03/31/2025;Dec;35.552,68;18.267,37;17.285,31;14.332,27;976,60;754,11;680,42;308,91;1,23;5,89;1,23;1,06;10,2;21,0;25,3;1;1;1;1;1;5
116;Basic Materials;Iron & Steel;CTBN;Citra Tubindo Tbk;03/31/2025;Dec;3.378,66;984,76;2.393,90;1.603,08;333,73;258,69;258,62;622,21;1,01;4,85;1,01;0,41;14,7;20,8;31,1;1;1;1;1;1;5
734;Properties & Real Estate;Real Estate Development & Management;CSIS;Cahayasakti Investindo Sukses Tbk;03/31/2025;Dec;525,29;193,97;331,32;10,57;1,59;1,33;0,19;51,97;0,32;1,54;0,32;0,59;12,9;20,5;642,3;1;1;1;1;1;5
857;Infrastructures;Marine Ports & Services;IPCC;PT Indonesia Kendaraan Terminal Tbk.;03/31/2025;Dec;1.899,98;571,58;1.328,40;203,27;63,59;51,17;51,17;145,39;1,31;6,57;1,31;0,43;13,9;19,9;130,1;1;1;1;1;1;5
46;Energy;Coal Production;ITMG;Indo Tambangraya Megah Tbk;12/31/2024;Dec;38.892,16;7.639,85;31.252,30;37.242,98;7.996,80;6.070,09;6.046,14;5.350,92;0,80;4,11;0,80;0,24;15,5;19,3;16,2;1;1;1;1;1;5
488;Consumer Cyclicals;Hotels, Resorts & Cruise Lines;HOTL;Saraswati Griya Lestari Tbk;09/30/2024;Dec;442,59;78,10;364,49;2,12;-1,94;-1,94;-1,91;19,65;0,49;2,55;0,49;0,21;15,8;19,1;3297,1;1;1;1;1;1;5
597;Healthcare;Pharmaceuticals;MERK;Merck Tbk;12/31/2024;Dec;956,94;149,66;807,27;1.036,75;195,06;153,46;153,46;342,55;1,97;10,36;1,97;0,19;16,0;19,0;14,8;1;1;1;1;1;5
730;Properties & Real Estate;Real Estate Development & Management;CBPE;PT Citra Buana Prasida Tbk;03/31/2025;Dec;342,03;53,13;288,91;18,68;8,92;7,76;7,76;40,49;0,88;4,62;0,88;0,18;16,1;19,0;293,9;1;1;1;1;1;5
132;Basic Materials;Timber;IFII;Indonesia Fibreboard Industry Tbk;03/31/2025;Dec;1.791,40;408,20;1.383,20;432,90;99,05;77,28;77,28;27,46;1,78;9,54;1,78;0,30;14,4;18,7;59,7;1;1;1;1;1;5
941;Transportation & Logistic;Logistics & Deliveries;HATM;PT Habco Trans Maritima Tbk;03/31/2025;Dec;1.761,63;742,52;1.019,11;244,84;51,01;48,07;48,07;26,99;1,74;9,41;1,74;0,73;10,7;18,5;77,2;1;1;1;1;1;5
655;Financials;Consumer Financing;BFIN;BFI Finance Indonesia Tbk;03/31/2025;Dec;25.687,03;15.019,45;10.667,58;1.376,39;499,36;405,49;405,52;123,11;1,32;7,15;1,32;1,41;7,7;18,4;142,8;1;1;1;1;1;5
290;Consumer Non-Cyclicals;Fish, Meat, & Poultry;AMMS;PT Agung Menjangan Mas Tbk;06/30/2024;Dec;71,99;2,56;69,43;105,16;18,55;18,24;12,94;10,50;0,97;5,33;0,97;0,04;17,5;18,1;12,0;1;1;1;1;1;5
159;Basic Materials;Diversified Metals & Minerals;NCKL;PT Trimegah Bangun Persada Tbk.;03/31/2025;Dec;55.246,91;15.835,82;39.411,08;7.127,75;2.477,32;2.274,47;1.656,95;111,49;1,12;6,28;1,12;0,40;12,7;17,9;98,7;1;1;1;1;1;5
130;Basic Materials;Iron & Steel;GGRP;Gunung Raja Paksi Tbk;12/31/2024;Dec;12.811,30;1.651,79;11.159,51;5.685,43;290,88;2.005,15;1.976,15;163,17;0,21;1,19;0,21;0,15;15,4;17,7;34,8;1;1;1;1;1;5
240;Industrials;Construction Machinery & Heavy Vehicles;UNTR;United Tractors Tbk;03/31/2025;Dec;181.221,78;78.407,22;102.814,56;34.260,78;4.473,56;3.297,72;3.187,43;4.871,52;0,82;4,66;0,82;0,76;10,0;17,7;53,0;1;1;1;1;1;5
342;Consumer Non-Cyclicals;Fish, Meat, & Poultry;MAIN;Malindo Feedmill Tbk;03/31/2025;Dec;5.349,38;2.655,38;2.694,00;3.171,10;81,33;62,88;62,89;206,93;0,65;3,79;0,65;0,99;8,7;17,2;14,6;1;1;1;1;1;5
245;Industrials;Office Supplies;BLUE;Berkah Prima Perkasa Tbk;12/31/2024;Dec;109,31;12,86;96,44;160,22;21,06;16,38;16,38;39,18;1,43;8,42;1,43;0,13;15,0;17,0;10,2;1;1;1;1;1;5
