"Sector","Sub_Industry","Code","Stock_Name","FS_Date","Assets","Price_BV","D_E_Ratio","Liabilities_normal","Equity_normal","Sales_normal","EBT_normal","Profit_Period_normal","Profit_owner_normal","EPS_normal","Book_Value_normal","P_E_Ratio_normal","Price_BV_normal","D_E_Ratio_normal","ROA_normal","ROE_normal","NPM_normal"
"Basic Materials","Agricultural Chemicals","NPGF","Nusa Palapa Gemilang Tbk","2020-03-31","333.85","0,38","0,41","97.31","236.54","40.63","1.09","0.90","0.90","1.80","0.38","15.55","0.38","0.41","1.75","2.47","14.36"
"Basic Materials","Agricultural Chemicals","DGWG","PT Delta Giri Wacana Tbk","2020-12-31","2910.38","3,80","2,72","2128.79","781.60","3373.12","212.38","181.89","178.69","30.38","3.80","16.62","3.80","2.72","6.14","22.86","5.30"
"Basic Materials","Agricultural Chemicals","SAMF","Saraswanti Anugerah Makmur Tbk","2020-03-31","2930.67","2,09","0,82","1322.17","1608.49","743.36","59.67","46.55","44.16","29.30","2.09","11.19","2.09","0.82","10.25","18.67","40.41"
"Basic Materials","Aluminum","ALKA","Alakasa Industrindo Tbk","2020-12-31","224.25","0,78","0,06","12.33","211.91","78.89","-3.12","-4.38","-4.33","-8.53","0.78","-38.21","0.78","0.06","-1.93","-2.04","-5.49"
"Basic Materials","Aluminum","ALMI","Alumindo Light Metal Industry Tbk","2020-03-31","458.80","2,20","2,58","330.51","128.30","1.27","-1.12","-1.12","-1.12","-25.09","2.20","-2.95","2.20","2.58","-20.86","-74.61","-7531.80"
"Basic Materials","Aluminum","CITA","Cita Mineral Investindo Tbk","2020-12-31","7943.81","1,81","0,04","322.60","7621.21","2386.97","2606.41","2489.55","2489.61","883.99","1.81","3.94","1.81","0.04","44.07","45.94","146.67"
"Basic Materials","Aluminum","INAI","Indal Aluminium Industry Tbk","2020-03-31","1193.78","0,62","5,66","1014.45","179.33","207.34","-20.34","-21.87","-21.87","-189.14","0.62","-0.93","0.62","5.66","-10.04","-66.83","-57.80"
"Basic Materials","Basic Chemicals","OKAS","Ancora Indonesia Resources Tbk","2020-03-31","3003.76","0,30","2,07","2025.17","978.60","608.70","87.24","62.82","21.71","61.37","0.30","2.00","0.30","2.07","4.85","14.88","23.93"
"Basic Materials","Basic Chemicals","AGII","Aneka Gas Industri Tbk","2020-09-30","7978.68","1,01","1,11","4201.61","3777.06","85969.76","24889.17","21441.38","19567.71","6398.54","1.01","0.20","1.01","1.11","245.93","519.51","22.82"
"Basic Materials","Basic Chemicals","BRPT","Barito Pacific Tbk","2020-03-31","180447.74","0,97","1,50","108289.92","72157.82","12817.93","931.94","489.08","267.71","12.52","0.97","59.52","0.97","1.50","0.65","1.63","9.15"
"Basic Materials","Basic Chemicals","BMSR","Bintang Mitra Semestaraya Tbk","2020-03-31","1696.89","0,40","1,22","932.72","764.17","848.24","-38.84","-38.83","-38.82","-901.41","0.40","-0.29","0.40","1.22","-61.58","-136.74","-123.19"
"Basic Materials","Basic Chemicals","MDKI","Emdeki Utama Tbk","2020-03-31","1052.57","0,41","0,07","67.80","984.77","73.63","13.67","10.17","10.02","11.35","0.41","13.92","0.41","0.07","2.73","2.92","39.00"
"Basic Materials","Basic Chemicals","SRSN","Indo Acidatama Tbk","2020-12-31","1135.43","0,41","0,54","396.87","738.56","1153.79","29.56","22.50","22.50","3.74","0.41","13.38","0.41","0.54","1.98","3.05","1.95"
"Basic Materials","Basic Chemicals","INCI","Intanwijaya Internasional Tbk","2020-03-31","525.02","0,27","0,13","60.58","464.45","86.79","7.06","5.82","5.82","110.57","0.27","5.47","0.27","0.13","4.37","4.94","26.45"
"Basic Materials","Basic Chemicals","LTLS","Lautan Luas Tbk","2020-03-31","6316.44","0,45","0,98","3123.17","3193.28","2119.36","63.39","49.42","39.07","110.19","0.45","8.35","0.45","0.98","2.72","5.38","8.11"
"Basic Materials","Basic Chemicals","FPNI","Lotte Chemical Titan Tbk","2020-03-31","2709.70","0,67","0,68","1101.27","1608.43","1413.96","-33.43","-24.87","-24.83","-29.55","0.67","-6.56","0.67","0.68","-6.07","-10.23","-11.63"
"Basic Materials","Basic Chemicals","MOLI","Madusari Murni Indah Tbk","2020-03-31","1865.08","0,38","0,37","500.81","1364.27","366.07","16.80","10.12","7.41","5.35","0.38","35.31","0.38","0.37","0.78","1.07","3.98"
"Basic Materials","Basic Chemicals","ADMG","Polychem Indonesia Tbk","2020-03-31","2539.85","0,23","0,33","632.85","1907.00","571.38","-16.33","-16.93","-16.93","-45.18","0.23","-2.52","0.23","0.33","-6.92","-9.21","-30.75"
"Basic Materials","Basic Chemicals","TPIA","PT Chandra Asri Pacific Tbk","2020-03-31","100327.27","13,45","0,98","49670.86","50656.41","10305.61","-527.86","-390.68","-424.82","-11.75","13.45","-670.06","13.45","0.98","-1.01","-2.01","-9.87"
"Basic Materials","Basic Chemicals","CHEM","PT Chemstar Indonesia Tbk","2020-03-31","176.45","0,79","0,52","60.58","115.88","62.33","0.65","0.51","0.51","-103.08","0.79","-0.52","0.79","0.52","-99.31","-151.23","-281.18"
"Basic Materials","Basic Chemicals","KKES","PT Kusuma Kemindo Sentosa Tbk","2020-03-31","146.89","0,54","1,31","83.29","63.60","47.73","-1.80","-1.42","-1.42","-1.62","0.54","-14.23","0.54","1.31","-1.65","-3.81","-5.08"
"Basic Materials","Basic Chemicals","SMLE","PT Sinergi Multi Lestarindo Tbk","2020-03-31","220.01","2,47","1,05","112.68","107.33","53.98","0.47","0.28","0.28","1.93","2.47","59.14","2.47","1.05","2.04","4.18","8.31"
"Basic Materials","Basic Chemicals","SBMA","Surya Biru Murni Acetylene Tbk","2020-03-31","289.64","0,47","0,26","59.77","229.88","32.48","2.64","1.98","1.98","14.32","0.47","8.10","0.47","0.26","4.60","5.79","41.00"
"Basic Materials","Basic Chemicals","ESSA","Surya Esa Perkasa Tbk","2020-03-31","11052.89","1,11","0,18","1704.67","9348.22","1153.36","225.44","176.93","134.65","51.75","1.11","11.69","1.11","0.18","8.07","9.54","77.29"
"Basic Materials","Basic Chemicals","UNIC","Unggul Indah Cahaya Tbk","2020-03-31","5774.35","0,55","0,14","711.30","5063.04","1511.89","118.37","93.87","94.99","917.73","0.55","7.98","0.55","0.14","6.09","6.95","23.27"
"Basic Materials","Construction Materials","BEBS","Berkah Beton Sadaya Tbk","2020-09-30","905.30","0,28","0,11","88.66","816.65","8582.51","1083.43","884.72","892.04","18.96","0.28","0.26","0.28","0.11","94.27","104.50","9.94"
"Basic Materials","Construction Materials","CMNT","Cemindo Gemilang Tbk","2020-03-31","16962.46","5,24","4,97","14121.68","2840.78","1925.10","-278.24","-304.18","-289.76","-95.82","5.24","-9.08","5.24","4.97","-9.67","-57.76","-85.24"
"Basic Materials","Construction Materials","INTP","Indocement Tunggal Prakarsa Tbk","2020-03-31","30096.12","0,88","0,35","7771.10","22325.02","3975.73","259.67","210.68","210.68","611.80","0.88","8.74","0.88","0.35","7.48","10.09","56.65"
"Basic Materials","Construction Materials","BATR","PT Benteng Api Technic Tbk","2020-03-31","211.59","1,23","0,39","59.03","152.57","23.06","2.31","1.93","1.90","3.37","1.23","18.37","1.23","0.39","4.82","6.69","44.27"
"Basic Materials","Construction Materials","BLES","PT Superior Prima Sukses Tbk","2020-03-31","1881.30","1,51","0,76","811.13","1070.17","314.21","1.94","1.10","1.08","15.30","1.51","11.90","1.51","0.76","7.23","12.71","43.29"
"Basic Materials","Construction Materials","SOLA","PT Xolare RCR Energy Tbk","2020-03-31","184.74","1,45","0,23","34.82","149.92","14.95","0.11","0.11","0.11","2.32","1.45","28.41","1.45","0.23","4.13","5.09","51.04"
"Basic Materials","Construction Materials","SMBR","Semen Baturaja (Persero) Tbk","2020-03-31","4924.70","0,66","0,48","1607.49","3317.21","527.81","63.48","48.96","48.96","17.43","0.66","12.62","0.66","0.48","3.52","5.22","32.80"
"Basic Materials","Construction Materials","SMGR","Semen Indonesia (Persero) Tbk","2020-12-31","76993.08","0,36","0,59","28685.87","48307.21","36186.13","1251.20","771.67","719.76","106.61","0.36","24.48","0.36","0.59","0.93","1.49","1.99"
"Basic Materials","Construction Materials","SMCB","Solusi Bangun Indonesia Tbk","2020-03-31","20905.70","0,54","0,61","7943.36","12962.33","2468.62","68.76","48.22","48.22","79.76","0.54","9.72","0.54","0.61","3.44","5.55","29.14"
"Basic Materials","Construction Materials","WTON","Wijaya Karya Beton Tbk","2020-12-31","7194.69","0,21","0,95","3507.92","3686.77","4896.02","87.48","64.20","65.00","7.46","0.21","11.66","0.21","0.95","0.90","1.76","1.33"
"Basic Materials","Containers & Packaging","ALDO","Alkindo Naratama Tbk","2020-03-31","2070.92","1,28","1,00","1036.75","1034.17","482.24","-8.56","7.25","7.21","-10.93","1.28","-45.02","1.28","1.00","-1.43","-2.85","-6.12"
"Basic Materials","Containers & Packaging","BRNA","Berlina Tbk","2020-03-31","2270.51","0,68","1,26","1264.69","1005.82","276.12","9.75","11.27","8.59","-22.33","0.68","-31.13","0.68","1.26","-0.96","-2.17","-7.92"
"Basic Materials","Containers & Packaging","IGAR","Champion Pacific Indonesia Tbk","2020-03-31","1008.12","0,55","0,11","100.14","907.98","222.14","25.91","20.03","13.53","64.04","0.55","8.04","0.55","0.11","6.18","6.86","28.03"
"Basic Materials","Containers & Packaging","FASW","Fajar Surya Wisesa Tbk","2020-03-31","12928.55","4,48","3,29","9913.88","3014.67","2007.52","-300.87","-306.58","-306.58","-568.77","4.48","-9.58","4.48","3.29","-10.90","-46.75","-70.20"
"Basic Materials","Containers & Packaging","IPOL","Indopoly Swakarsa Industry Tbk","2020-03-31","6234.82","0,26","1,12","3287.51","2947.31","887.02","10.70","5.30","5.81","3.04","0.26","38.50","0.26","1.12","0.31","0.66","2.21"
"Basic Materials","Containers & Packaging","KDSI","Kedawung Setia Industrial Tbk","2020-03-31","1202.98","0,83","0,44","367.11","835.87","542.74","19.72","11.75","11.75","43.12","0.83","9.93","0.83","0.44","5.81","8.36","12.87"
"Basic Materials","Containers & Packaging","EPAC","Megalestari Epack Sentosaraya Tbk","2020-03-31","261.57","0,46","2,61","189.20","72.38","37.54","-2.02","-2.00","-2.06","-60.60","0.46","-0.17","0.46","2.61","-76.54","-276.60","-533.28"
"Basic Materials","Containers & Packaging","PBID","Panca Budi Idaman Tbk","2020-03-31","3562.41","1,26","0,16","497.80","3064.61","1277.52","128.63","102.23","101.78","60.55","1.26","8.50","1.26","0.16","12.75","14.82","35.55"
"Basic Materials","Containers & Packaging","PICO","Pelangi Indah Canindo Tbk","2020-12-31","712.82","0,30","2,43","504.82","208.00","600.29","4.63","2.77","2.77","4.87","0.30","22.59","0.30","2.43","0.39","1.33","0.46"
"Basic Materials","Containers & Packaging","PTMR","PT Master Print Tbk","2020-03-31","160.05","2,53","0,59","59.23","100.82","36.50","2.33","1.67","1.67","3.28","2.53","40.85","2.53","0.59","3.91","6.20","17.14"
"Basic Materials","Containers & Packaging","PPRI","PT Paperocks Indonesia Tbk.","2020-03-31","125.85","3,30","0,30","29.34","96.51","42.19","1.65","1.18","1.18","4.33","3.30","68.42","3.30","0.30","3.70","4.82","11.02"
"Basic Materials","Containers & Packaging","PDPP","PT Primadaya Plastisindo Tbk","2020-12-31","597.46","3,91","0,50","198.19","399.27","420.55","30.43","23.84","23.84","7.79","3.91","65.50","3.91","0.50","3.99","5.97","5.67"
"Basic Materials","Containers & Packaging","PACK","PT Solusi Kemasan Digital Tbk","2020-12-31","66.92","67,73","0,16","9.13","57.79","54.70","1.17","0.90","0.90","0.56","67.73","4349.65","67.73","0.16","1.34","1.56","1.64"
"Basic Materials","Containers & Packaging","SMKL","Satyamitra Kemas Lestari Tbk","2020-03-31","2158.02","0,54","1,26","1201.13","956.89","468.16","16.64","11.79","11.79","4.94","0.54","30.38","0.54","1.26","0.78","1.76","3.61"
"Basic Materials","Containers & Packaging","ESIP","Sinergi Inti Plastindo Tbk","2020-03-31","102.15","0,28","0,05","4.43","97.72","14.15","0.54","0.50","0.50","41.98","0.28","0.60","0.28","0.05","45.61","47.68","329.36"
"Basic Materials","Containers & Packaging","SPMA","Suparma Tbk","2020-12-31","3392.69","0,35","0,42","1008.01","2384.68","2729.64","134.44","104.84","104.84","33.24","0.35","8.00","0.35","0.42","3.09","4.40","3.84"
